citizen_id,party_voted_past,mvar1,mvar2,mvar3,mvar4,mvar5,mvar11,mvar12,mvar13,mvar14,mvar15,mvar16,mvar17,mvar18,mvar19,mvar20,mvar21,mvar22,mvar23,mvar24,mvar25,mvar26,mvar27,mvar28,mvar29,mvar30,mvar31,mvar32,mvar33
C130001,Odyssey,0,0,0,8,5,0,0,0,0,1,0,0,0,3,1,0,0,0,7,0,1,55+,1,0,Masters,6,AET,AFP
C130002,Ebony,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,15,0,0,0,1,18-24,0,1,Masters,7,AII,AII
C130003,Tokugawa,0,2,14,6,0,0,0,1,0,0,0,2,7,1,0,0,15,15,15,0,3,25-35,0,0,Primary,7,ATU,ATU
C130004,Odyssey,0,0,0,4,1,0,0,0,1,0,0,0,0,1,0,0,0,0,15,15,3,18-24,0,1,Degree,8,AWI,ATA
C130005,Odyssey,0,0,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,15,15,15,1,46-55,1,0,Degree,6,AFX,ACL
C130006,Odyssey,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,3,25-35,1,1,Primary,8,ATU,ANG
C130007,Cosmos,2,10,14,0,10,0,0,2,0,0,2,1,2,0,9,0,5,15,0,0,3,25-35,1,1,Degree,7,AEC,AEC
C130008,Odyssey,0,0,0,10,0,0,0,0,1,0,0,0,0,1,0,0,0,0,15,0,1,55+,1,0,Primary,5,AWX,AWX
C130009,Cosmos,0,8,2,1,8,0,0,0,0,1,0,6,0,1,0,15,15,15,15,15,3,18-24,1,0,Masters,7,AEC,ATI
C130010,Ebony,0,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,15,15,0,0,1,25-35,1,0,Diploma,3,AEC,AEC
C130011,Tokugawa,0,0,7,7,2,0,0,2,2,0,0,0,0,1,1,0,0,12,15,15,4,55+,1,0,Primary,7,ACO,ACO
C130012,Cosmos,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,15,0,15,0,15,3,55+,0,0,Degree,9,AMR,AHO
C130013,Cosmos,0,0,0,0,14,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,4,36-45,0,1,Diploma,6,ACL,ATI
C130014,Cosmos,2,0,0,0,9,1,0,0,0,1,0,0,0,0,0,15,0,0,0,10,1,25-35,1,1,Degree,7,ACL,AOV
C130015,Odyssey,1,0,0,6,0,0,0,0,1,0,0,0,0,1,0,15,0,0,15,0,4,36-45,1,0,Diploma,7,AUE,AUE
C130016,Centaur,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,15,0,0,0,0,3,55+,1,0,Degree,8,BAN,BAN
C130017,Odyssey,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,15,0,15,0,4,55+,1,0,Masters,10,AHO,AHO
C130018,Centaur,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,25-35,0,1,Diploma,8,AOV,ACL
C130019,Odyssey,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,0,1,18-24,1,0,Primary,8,AHJ,AHJ
C130020,Ebony,3,2,0,4,0,0,0,0,1,0,0,1,0,0,0,13,15,0,15,0,3,46-55,1,0,Degree,8,AEO,ASF
C130021,Ebony,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,3,18-24,0,0,Diploma,5,ASE,ASE
C130022,Centaur,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,25-35,1,0,Masters,7,AOV,AOV
C130023,Cosmos,0,0,6,0,4,0,0,2,0,1,0,0,0,0,0,0,0,15,0,15,2,46-55,1,0,Primary,7,AJI,ANQ
C130024,Odyssey,2,0,0,8,3,0,0,0,0,1,0,0,0,1,0,15,0,0,15,15,3,46-55,1,0,Diploma,7,AQX,AQX
C130025,Odyssey,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,3,36-45,1,1,Degree,6,ACD,ACL
C130026,Cosmos,0,0,2,2,6,0,0,0,1,3,0,0,0,0,0,0,0,15,15,15,3,25-35,1,0,Degree,5,AJI,AJV
